@lat;@lon;name;addr:suburb
-23.7770093;-46.5182504;Rua Aljubarrota;
-23.7752202;-46.5166119;Rua Busaco;
-23.7771648;-46.5220671;Rua Portugal;
-23.7761971;-46.5178113;Rua Busaco;
-23.7757341;-46.5202873;Rua Cintra;
-23.7049178;-46.5193204;Rua dos Vianas;
-23.7083024;-46.5255414;Avenida Luiz Pequini;
-23.7574495;-46.5771496;Rua Augusto Venturini;
-23.7116420;-46.5707274;Avenida José Odorizzi;
-23.7289494;-46.5701435;Avenida Presidente João Café Filho;
-23.7077943;-46.5556926;Rua do Cruzeiro;
-23.7059644;-46.5583760;Viaduto Tereza Delta;
-23.7350270;-46.5569232;Rua Afonso Demarchi;
-23.7353069;-46.5595829;Rua Antônio Francisco Lisboa;
-23.7359543;-46.5569244;Rua Antônio Sragim Zampieri;
-23.7358870;-46.5570873;Rua Daniel Tollotti;
-23.7348403;-46.5581248;Rua Doutor João de Vasconcelos;
-23.7350998;-46.5592171;Rua Giovanni Zaia;
-23.7341872;-46.5585719;Rua Francisco Rebelo;
-23.7358557;-46.5575278;Rua Julio Ferreira Mendes;
-23.7350111;-46.5586620;Rua Maria Gasperini;
-23.7354865;-46.5560934;Rua Sebastião Souto;
-23.7380270;-46.5586232;Rua Guiseppe Uliam;
-23.7367474;-46.5604403;Rua Felipe Camarão;
-23.7372364;-46.5539631;Rua Francisco Tollotti;
-23.7388943;-46.5559988;Rua Mateos Demarchi;
-23.7376976;-46.5578490;Rua Professor Antônio Nascimento;
-23.7382695;-46.5556026;Rua São Faustino;
-23.7387917;-46.5560138;Rua São João Bosco;
-23.6968007;-46.5526273;Avenida Lucas Nogueira Garcez;
-23.6930719;-46.5545132;Avenida Lucas Nogueira Garcez;
-23.6942423;-46.5502943;Avenida Pereira Barreto;
-23.6959076;-46.5504696;Praça Samuel Sabatini;
-23.6947917;-46.5507190;Praça Samuel Sabatini;
-23.6942505;-46.5521012;Viaduto José Fernando de Medina Braga;
-23.6910895;-46.5606880;Avenida Barão de Mauá;
-23.6889488;-46.5600527;Avenida Kennedy;
-23.6904414;-46.5592736;Avenida Lucas Nogueira Garcez;
-23.6897165;-46.5648384;Viaduto Pastor Roberto Montanheiro;
-23.6897990;-46.5648116;Viaduto Pastor Roberto Montanheiro;
-23.6895568;-46.5649007;Viaduto Pastor Roberto Montanheiro;
-23.6899260;-46.5657870;Avenida Piraporinha;
-23.6896946;-46.5653986;Avenida Piraporinha;
-23.6896192;-46.5639876;Avenida Lucas Nogueira Garcez;
-23.6900427;-46.5594503;Avenida Lucas Nogueira Garcez;
-23.6870126;-46.5651440;Avenida Antártico;
-23.6903941;-46.5612634;Avenida das Nações Unidas;
-23.6916852;-46.5595211;Avenida das Nações Unidas;
-23.6773037;-46.5566290;Avenida Kennedy;
-23.6772381;-46.5565630;Rua Sérgio Vieira de Melo;
-23.7278867;-46.5617686;Rua Eliza da Silva Frezolone;
-23.7297447;-46.5645936;Rua Ernesto Soares Filho;
-23.7272223;-46.5656216;Rua Felipe Bernardi;
-23.7281593;-46.5648111;Rua Felipe Bernardi;
-23.7288815;-46.5625346;Rua Gabriel de Sousa;
-23.7295712;-46.5666034;Rua Gabriel de Sousa;
-23.7272658;-46.5612266;Rua Helena Guirelli Bruni;
-23.7306883;-46.5609781;Rua Inocente Corazza;
-23.7312907;-46.5611989;Rua Inocente Corazza;
-23.7288623;-46.5652126;Rua José Antônio da Silva;
-23.7320239;-46.5623181;Rua João Ferreira de Almeida;
-23.7282747;-46.5629249;Rua João Ruggiero;
-23.7314874;-46.5640964;Rua Gabriel de Sousa;
-23.7277042;-46.5657072;Rua Rolando Mário Ramacciotti;
-23.7289082;-46.5642416;Rua Roque Versolato;
-23.7294565;-46.5621402;Rua José Lima Filho;
-23.7264703;-46.5635071;Rua Maria da Natividade Lages;
-23.7302113;-46.5646906;Rua Antônio Rodrigues de Moura;
-23.7313716;-46.5652598;Rua Antônio Rodrigues de Moura;
-23.7318680;-46.5645811;Rua José Fernandes Marques;
-23.7304780;-46.5665851;Rua José Romano;
-23.7302121;-46.5675361;Rua 9;
-23.7318495;-46.5671203;Rua Roberto Scarpelli Amedeo Bigucci;
-23.7304995;-46.5640336;Rua Sadaichi Takeshita;
-23.7302761;-46.5632220;Rua Salim Tabet;
-23.7260908;-46.5614384;Rua Jorge Pires;
-23.7261102;-46.5616169;Rua Jorge Pires;
